Duration,WordsSpoken
1.0609666666666666,169.0
10.426666666666668,1610.0
9.467733333333333,656.0
4.9799,310.0
11.105066666666666,1767.0
14.587733333333334,49.0
2.553233333333333,348.0
17.79733333333333,1127.0
0.68515,58.0
3.793066666666667,10.0
6.3562666666666665,964.0
1.4488833333333335,226.0
7.333683333333334,170.0
3.874483333333333,378.0
17.92,1985.0
27.29706666666667,1782.0
7.269683333333333,1035.0
67.84176666666666,917.0
3.969066666666667,400.0
7.249766666666667,161.0
4.878566666666667,341.0
1.1736833333333334,74.0
3.0485333333333333,451.0
6.347016666666667,460.0
5.249766666666667,178.0
